,ADA-USD,AVAX-USD,BCH-USD,BNB-USD,BTC-USD,CRO-USD,DOGE-USD,ETH-USD,HBAR-USD,LEO-USD,LINK-USD,LTC-USD,PYUSD-USD,RAIN-USD,SHIB-USD,SOL-USD,TON-USD,TRX-USD,WBT-USD,XLM-USD,XMR-USD,XRP-USD,ZEC-USD
2025-11-21 01:00:00+00:00,-0.00127557,8.15E-05,0.001148853,0.004316486,-0.001198295,-0.004663738,-0.000459768,0.001724578,-0.002347529,0.001250268,0.002549493,-0.002111589,6.83E-05,0,0.000672743,0.00018088,0,-0.001240356,-0.001382161,-0.001812778,-0.000318766,-0.000149189,0.007945446
2025-11-21 02:00:00+00:00,-0.016355729,-0.007683254,-0.011818915,-0.010616613,-0.018727502,-0.015348094,-0.020512773,-0.028140632,-0.010117204,0.000109197,-0.016952808,-0.011308583,0.000253011,0,-0.013883072,-0.017848725,0,-0.004738025,-0.011283482,-0.016258822,-0.001781593,-0.01827095,-0.024948811
2025-11-21 03:00:00+00:00,0.00638791,-0.001645793,0.00743561,0.002395041,0.005600808,0.00218302,0.003152764,0.011743618,0.002289671,-0.001087767,0.000104891,0.003502249,-0.000228261,0,0.002744288,0.00758369,-0.017091177,0.003543277,0.001493245,0.005463007,0.002712969,0.004750671,-0.01079156
2025-11-21 04:00:00+00:00,-0.007794856,-0.004770147,0.000983878,0.000427315,0.001084368,-0.000818424,0.001503001,0.000486821,-0.000115772,-0.008670333,-0.002198048,0.000333358,-0.000284565,0,-0.001725142,-0.002614725,-0.005024354,0.000500762,-0.000412904,0.000788165,-0.003608768,-0.000801724,0.009397003
2025-11-21 05:00:00+00:00,-0.009263548,-0.004411829,-0.006293929,-0.004207057,0.001125854,-0.007523686,-0.007693881,-0.003869184,-0.006252283,-0.001168908,-0.009144512,-0.007319001,0.000229102,0,-0.011367531,-0.004650106,0.008519222,0.000565219,-0.000221584,-0.007479719,-0.036314904,-0.003647141,0.001784411
2025-11-21 06:00:00+00:00,-0.004975123,0.004065846,-0.00635324,-0.009000684,-0.006628653,-8.65E-05,-0.001610646,-0.005277384,-0.000235573,0.000181049,0.001265818,0.002831033,-0.000200946,0,0.003274938,-0.007137378,0,-9.55E-06,-0.0044597,0.001342177,-0.002384341,-0.006070965,-0.000477374
2025-11-21 07:00:00+00:00,-0.031814837,-0.04231026,-0.026056262,-0.024689539,-0.019944091,-0.051335496,-0.042008962,-0.028573763,-0.030002281,-0.027805755,-0.04231834,-0.029302738,3.41E-05,0,-0.033188987,-0.029833076,-0.017916838,-0.019522027,-0.003893745,-0.028995231,-0.024298456,-0.024319627,0.036873696
2025-11-21 08:00:00+00:00,0.009979855,0.014695115,0.001252919,-0.00253087,-0.002279057,0.01395075,0.008110391,0.009632925,-0.004826939,-0.004652078,0.008167152,-0.000900988,0.000173505,0,0.008818236,0.007914554,0,0.006658917,0.024535561,0.002822374,-0.009076862,0.00914229,-0.013836548
2025-11-21 09:00:00+00:00,-0.022770358,-0.024395235,-0.002265915,-0.019219977,-0.015307896,-0.01691863,-0.020702836,-0.019112495,-0.02673587,0.010763939,-0.02560512,-0.012758093,0.000214499,0,-0.018527993,-0.017258526,0,-0.001752737,-0.013298959,-0.024130651,-0.007473327,-0.015103702,-0.017204641
2025-11-21 10:00:00+00:00,0.000850486,-0.002745703,0.000127297,-0.001961664,0.003202014,-0.000906767,-0.002663046,0.003142693,0.005265251,-0.009987824,0.000311112,-0.001934469,-0.000326627,-0.093188067,-0.002327733,-0.005381332,0,-0.002663371,-0.000694749,0.000657159,0.028956569,-0.00578953,-0.048648461
2025-11-21 11:00:00+00:00,-0.011233555,-0.006638653,-0.018184121,-0.005147885,-0.0047378,-0.010274908,-0.009773683,-0.003569366,-0.016677956,0.011152308,-0.012622002,-0.015845229,-2.82E-05,0,-0.011920715,-0.009610378,0,-0.003350076,-0.005070977,-0.006844227,-0.011455436,-0.010625114,-0.022785571
2025-11-21 12:00:00+00:00,0.014382207,0.017912503,0.018385777,0.012721479,0.011623744,0.023178226,0.016207454,0.015267121,0.014665057,-0.000310383,0.016079976,0.010206166,0.000354005,0,0.016742821,0.019793295,0,0.002829961,0.006186134,0.020541467,0.006788809,0.01652097,0.019574461
